,white_username,black_username,white_result,black_result
0,-Amos-,miniman2804,win,checkmated
1,-Amos-,koltcho69,win,resigned
2,-Amos-,enhmandah,win,resigned
3,enhmandah,-Amos-,checkmated,win
4,-Amos-,Shalllow-Blue,win,resigned
5,-Amos-,myshoes,win,resigned
6,Richhoney33,-Amos-,timeout,win
7,-Amos-,Richhoney33,win,timeout
8,merlin68,-Amos-,win,resigned
9,Shalllow-Blue,-Amos-,resigned,win
10,mdtsudan,-Amos-,win,resigned
11,bobi016,-Amos-,resigned,win
12,-Amos-,calico253,win,resigned
13,-Amos-,tiktoktest,win,checkmated
14,Reihan22,-Amos-,resigned,win
15,tiktoktest,-Amos-,resigned,win
16,calico253,-Amos-,resigned,win
17,MysticReferee,-Amos-,win,resigned
18,-Amos-,Reihan22,win,resigned
19,marco38,-Amos-,win,checkmated
20,-Amos-,izanaminookami,resigned,win
21,-Amos-,ajlgtmo,win,resigned
22,abeluchin,-Amos-,resigned,win
23,AlexShane,-Amos-,win,resigned
24,jetyamato,-Amos-,win,resigned
25,-Amos-,AlexShane,resigned,win
26,RearWindow,-Amos-,win,timeout
27,-Amos-,celldogg,win,resigned
28,celldogg,-Amos-,resigned,win
29,-Amos-,jorgmancosta,timeout,win
30,-Amos-,ColinMulholland,timeout,win
31,-Amos-,thechessnerdfromig,timeout,win
32,thechessnerdfromig,-Amos-,win,timeout
33,NJTerence,-Amos-,win,timeout
34,Kinghal,-Amos-,win,timeout
35,-Amos-,NoahL81,timeout,win
36,-Amos-,warrenpark8,timeout,win
37,ColinMulholland,-Amos-,win,timeout
38,-Amos-,Powerpandi,timeout,win
39,aurelienalex,-Amos-,win,timeout
40,Lovejoy79,-Amos-,win,timeout
41,koltcho69,-Amos-,win,timeout
42,-Amos-,mdtsudan,timeout,win
43,-Amos-,Dodie69,timeout,win
44,jorgmancosta,-Amos-,win,timeout
45,-Amos-,merlin68,timeout,win
46,-Amos-,DavyJ,timeout,win
47,-Amos-,MysticReferee,timeout,win
48,-Amos-,kombinezon34,timeout,win
49,-Amos-,abeluchin,timeout,win
50,gersonldemelo,-Amos-,win,timeout
51,ChessinBlackandWhite,-Amos-,win,timeout
52,codan,-Amos-,win,timeout
53,miniman2804,-Amos-,win,timeout
54,-Amos-,geracarp75,timeout,win
55,-Amos-,ivor12,timeout,win
56,thnkbck,-Amos-,win,timeout
57,-Amos-,prashant0052003,timeout,win
58,prashant0052003,-Amos-,win,timeout
59,-Amos-,NJTerence,timeout,win
60,-Amos-,Kinghal,timeout,win
61,NoahL81,-Amos-,win,timeout
62,warrenpark8,-Amos-,win,timeout
63,-Amos-,aurelienalex,timeout,win
64,-Amos-,Lovejoy79,timeout,win
65,DavyJ,-Amos-,win,timeout
66,abeluchin,-Amos-,win,timeout
67,-Amos-,gersonldemelo,timeout,win
68,-Amos-,ChessinBlackandWhite,timeout,win
69,Powerpandi,-Amos-,win,timeout
70,-Amos-,codan,timeout,win
71,geracarp75,-Amos-,win,timeout
72,kombinezon34,-Amos-,win,timeout
73,Dodie69,-Amos-,win,timeout
74,timur100,-Amos-,win,timeout
75,-Amos-,timur100,timeout,win
76,ivor12,-Amos-,win,timeout
77,-basu-,gopipp,resigned,win
78,Unique_Kunal,-basu-,win,resigned
79,juanecabellobbb,-basu-,win,resigned
80,pulhard,-basu-,win,resigned
81,-basu-,Gatotkaca123,resigned,win
82,-basu-,Plantamar,win,checkmated
83,Tussino,-basu-,resigned,win
84,nikoslavrio,-basu-,resigned,win
85,-basu-,snotrocketeer,resigned,win
86,-basu-,pher0123,checkmated,win
87,felixwoelmuis,-basu-,win,resigned
88,-basu-,swing89,win,resigned
89,pagustavo,-basu-,abandoned,win
90,ash_87,-basu-,win,resigned
91,her211,-basu-,resigned,win
92,-basu-,pevesteeters,timevsinsufficient,timevsinsufficient
93,-basu-,arthanto,repetition,repetition
94,-basu-,Mobinhodaei,resigned,win
95,kaalman,-basu-,resigned,win
96,mynimoi,-basu-,win,checkmated
97,-basu-,Ukrop13,win,resigned
98,-basu-,Soisiodki,win,resigned
99,-basu-,ricardoucarlo,resigned,win
100,-basu-,ArtisticBuddy,resigned,win
101,Pith1957,-basu-,win,resigned
102,pr2jayyy,-basu-,resigned,win
103,Fdelgado,-basu-,checkmated,win
104,-basu-,Mhofela,win,resigned
105,-basu-,KingHuntr,win,timeout
106,veur,-basu-,win,timeout
107,ggragazzi,-basu-,resigned,win
108,-basu-,addictgamer,win,checkmated
109,-basu-,havardeek,win,timeout
110,treynaldo2,-basu-,repetition,repetition
111,Cheh6456,-basu-,resigned,win
112,-basu-,ENEMIESENEMY,resigned,win
113,-basu-,ClerkofGod,win,resigned
114,jpoundslbs,-basu-,win,resigned
115,Smile4Real,-basu-,win,resigned
116,-basu-,pvshah16,win,resigned
117,pvshah16,-basu-,checkmated,win
118,Sunblocker,-basu-,win,resigned
119,-basu-,Vasovi,resigned,win
120,-basu-,abdulsomadsuhendra,win,checkmated
121,-basu-,Daakniteu,resigned,win
122,Daakniteu,-basu-,checkmated,win
123,Tweps,-basu-,resigned,win
124,-basu-,goeska,win,timeout
125,Lorenzo1908,-basu-,win,checkmated
126,lintinlebang,-basu-,win,resigned
127,-basu-,shivanshchessking,checkmated,win
128,-basu-,dutt_king,win,resigned
129,dutt_king,-basu-,win,checkmated
130,-basu-,Souz1302,win,checkmated
131,TonyStark12344,-basu-,abandoned,win
132,-basu-,antonioazzollini,repetition,repetition
133,-basu-,perry1619,resigned,win
134,ikkeook,-basu-,checkmated,win
135,GambitGoblino,-basu-,win,resigned
136,Sadhu007,-basu-,win,checkmated
137,-basu-,sanghi_sai,resigned,win
138,hendroyu,-basu-,resigned,win
139,-basu-,RolfTheStag,win,checkmated
